Country Name,Country Code,year,GDP,GDP_per_capita
United States,USA,2013,1.68432E+13,53291.12769
Australia,AUS,2014,1.4675E+12,62511.69059
Canada,CAN,2014,1.80575E+12,50955.99832
China,CHN,2014,1.04757E+13,7636.116601
Germany,DEU,2014,3.88909E+12,48023.86998
France,FRA,2014,2.85596E+12,43068.54872
United Kingdom,GBR,2014,3.08717E+12,47787.2413
India,IND,2014,2.03913E+12,1573.885642
Japan,JPN,2014,4.89699E+12,38475.39525
New Zealand,NZL,2014,2.01313E+11,44572.89875
Russian Federation,RUS,2014,2.05924E+12,14095.64844
United States,USA,2014,1.75507E+13,55123.84979
Australia,AUS,2015,1.35053E+12,56707.02208
Canada,CAN,2015,1.55651E+12,43596.13554
China,CHN,2015,1.10616E+13,8016.431435
Germany,DEU,2015,3.35759E+12,41103.25644
France,FRA,2015,2.43919E+12,36652.92231
United Kingdom,GBR,2015,2.95657E+12,45404.56777
India,IND,2015,2.10359E+12,1605.605445
Japan,JPN,2015,4.44493E+12,34960.63938
New Zealand,NZL,2015,1.78064E+11,38630.72659
Russian Federation,RUS,2015,1.36348E+12,9313.013672
United States,USA,2015,1.8206E+13,56762.72945
Australia,AUS,2016,1.20669E+12,49881.76371
Canada,CAN,2016,1.52799E+12,42315.60371
China,CHN,2016,1.12333E+13,8094.363367
Germany,DEU,2016,3.46985E+12,42136.12079
France,FRA,2016,2.47296E+12,37062.53357
United Kingdom,GBR,2016,2.72285E+12,41499.5557
India,IND,2016,2.2948E+12,1732.554242
Japan,JPN,2016,5.00368E+12,39375.47316
New Zealand,NZL,2016,1.88838E+11,40058.19616
Russian Federation,RUS,2016,1.27679E+12,8704.898438
United States,USA,2016,1.86951E+13,57866.74493
Australia,AUS,2017,1.32688E+12,53934.25018
Canada,CAN,2017,1.64927E+12,45129.4293
China,CHN,2017,1.23104E+13,8816.986905
Germany,DEU,2017,3.69085E+12,44652.58917
France,FRA,2017,2.59515E+12,38781.04949
United Kingdom,GBR,2017,2.69902E+12,40857.75558
India,IND,2017,2.65147E+12,1980.66702
Japan,JPN,2017,4.93084E+12,38834.05293
New Zealand,NZL,2017,2.06624E+11,42924.9956
Russian Federation,RUS,2017,1.5742E+12,10720.33301
United States,USA,2017,1.94796E+13,59914.7778
Australia,AUS,2018,1.42853E+12,57180.7794
Canada,CAN,2018,1.72533E+12,46548.63841
China,CHN,2018,1.38948E+13,9905.342004
Germany,DEU,2018,3.97729E+12,47973.60762
France,FRA,2018,2.79096E+12,41592.7959
United Kingdom,GBR,2018,2.90079E+12,43646.95197
India,IND,2018,2.70293E+12,1998.259076
Japan,JPN,2018,5.03784E+12,39727.1166
New Zealand,NZL,2018,2.11953E+11,43250.44097
Russian Federation,RUS,2018,1.65733E+12,11287.36035
United States,USA,2018,2.05272E+13,62805.25376
Australia,AUS,2019,1.39195E+12,54875.28596
Canada,CAN,2019,1.74202E+12,46328.67184
China,CHN,2019,1.42799E+13,10143.8382
Germany,DEU,2019,3.88833E+12,46794.89929
France,FRA,2019,2.72887E+12,40578.64429
United Kingdom,GBR,2019,2.87867E+12,43070.49836
India,IND,2019,2.83155E+12,2072.244897
Japan,JPN,2019,5.12332E+12,40458.00188
New Zealand,NZL,2019,2.13435E+11,42865.23364
Russian Federation,RUS,2019,1.69311E+12,11536.25098
United States,USA,2019,2.13726E+13,65094.79943
Australia,AUS,2020,1.32784E+12,51680.31652
Canada,CAN,2020,1.64542E+12,43258.26387
China,CHN,2020,1.46877E+13,10408.66976
Germany,DEU,2020,3.84641E+12,46252.6893
France,FRA,2020,2.63032E+12,39037.12263
United Kingdom,GBR,2020,2.7569E+12,41098.07865
India,IND,2020,2.66769E+12,1933.101069
Japan,JPN,2020,5.04011E+12,39918.16756
New Zealand,NZL,2020,2.11735E+11,41596.5055
Russian Federation,RUS,2020,1.48832E+12,10161.98242
United States,USA,2020,2.08937E+13,63027.67953
Australia,AUS,2021,1.54266E+12,59934.12941
Canada,CAN,2021,1.99076E+12,52051.35146
China,CHN,2021,1.77341E+13,12556.33312
Germany,DEU,2021,4.22312E+12,50801.78671
France,FRA,2021,2.93747E+12,43518.53851
United Kingdom,GBR,2021,3.18686E+12,47334.35531
India,IND,2021,3.1734E+12,2277.434347
Japan,JPN,2021,4.93742E+12,39285.16311
New Zealand,NZL,2021,2.49992E+11,48801.68513
Russian Federation,RUS,2021,1.7758E+12,12172.78516
United States,USA,2021,2.29961E+13,69287.53659
